,ha,hb,hab,pa,pb,pab_c,pab_d,irr_conj,irr_disj
2325,-0.5,-0.5,0.5,0.9999999999999998,0.9999999999999998,0.5512623509313511,0.0949002518802621,-0.44873764906864866,0.9050997481197377
2326,-0.5,-0.5,0.6000000000000001,0.9999999999999998,0.9999999999999998,0.8013359195876286,0.30512852980830774,-0.19866408041237116,0.694871470191692
2327,-0.5,-0.5,0.7000000000000002,0.9999999999999998,0.9999999999999998,0.9643672493730618,0.571646111057247,-0.03563275062693794,0.4283538889427527
2328,-0.5,-0.5,0.8,0.9999999999999998,0.9999999999999998,0.9932642277502748,0.8174685537662261,-0.006735772249724992,0.1825314462337737
2329,-0.5,-0.5,0.9000000000000001,0.9999999999999998,0.9999999999999998,0.8796798141156824,0.9715887829470102,-0.12032018588431737,0.028411217052989546
2330,-0.5,-0.5,1.0,0.9999999999999998,0.9999999999999998,0.6564232237067,0.9894886855079641,-0.34357677629329975,0.010511314492035684
2331,-0.5,-0.3999999999999999,-1.0,0.9999999999999998,0.9755282581475772,0.010511314492036013,0.3435767762932999,-0.9650169436555411,0.6564232237066998
2332,-0.5,-0.3999999999999999,-0.9,0.9999999999999998,0.9755282581475772,0.028411217052989376,0.12032018588431734,-0.9471170410945878,0.8796798141156824
2333,-0.5,-0.3999999999999999,-0.8,0.9999999999999998,0.9755282581475772,0.1825314462337739,0.006735772249725285,-0.7929968119138032,0.9932642277502745
2334,-0.5,-0.3999999999999999,-0.7,0.9999999999999998,0.9755282581475772,0.4283538889427527,0.03563275062693823,-0.5471743692048244,0.9643672493730615
2335,-0.5,-0.3999999999999999,-0.6,0.9999999999999998,0.9755282581475772,0.6948714701916927,0.19866408041237166,-0.28065678795588445,0.8013359195876282
2336,-0.5,-0.3999999999999999,-0.5,0.9999999999999998,0.9755282581475772,0.9050997481197381,0.44873764906864877,-0.07042851002783901,0.551262350931351
2337,-0.5,-0.3999999999999999,-0.3999999999999999,0.9999999999999998,0.9755282581475772,0.9983132116827412,0.7136184953566602,0.022784953535164076,0.28638150464333956
2338,-0.5,-0.3999999999999999,-0.29999999999999993,0.9999999999999998,0.9755282581475772,0.9475868406207979,0.9167947547029871,-0.027941417526779255,0.08320524529701268
2339,-0.5,-0.3999999999999999,-0.19999999999999996,0.9999999999999998,0.9755282581475772,0.7675731230165596,0.999578124942121,-0.2079551351310176,0.00042187505787882884
2340,-0.5,-0.3999999999999999,-0.09999999999999998,0.9999999999999998,0.9755282581475772,0.5102697986577039,0.9380562529563299,-0.4652584594898732,0.061943747043669894
2341,-0.5,-0.3999999999999999,0.0,0.9999999999999998,0.9755282581475772,0.25,0.75,-0.7255282581475772,0.24999999999999978
2342,-0.5,-0.3999999999999999,0.10000000000000009,0.9999999999999998,0.9755282581475772,0.06194374704367034,0.48973020134229606,-0.9135845111039068,0.5102697986577037
2343,-0.5,-0.3999999999999999,0.20000000000000018,0.9999999999999998,0.9755282581475772,0.0004218750578790972,0.23242687698344033,-0.9751063830896981,0.7675731230165594
2344,-0.5,-0.3999999999999999,0.30000000000000004,0.9999999999999998,0.9755282581475772,0.08320524529701309,0.052413159379202635,-0.892323012850564,0.9475868406207971
2345,-0.5,-0.3999999999999999,0.40000000000000013,0.9999999999999998,0.9755282581475772,0.2863815046433399,0.0016867883172585615,-0.6891467535042373,0.9983132116827412
2346,-0.5,-0.3999999999999999,0.5,0.9999999999999998,0.9755282581475772,0.5512623509313511,0.0949002518802621,-0.42426590721622603,0.9050997481197377
2347,-0.5,-0.3999999999999999,0.6000000000000001,0.9999999999999998,0.9755282581475772,0.8013359195876286,0.30512852980830774,-0.17419233855994853,0.694871470191692
2348,-0.5,-0.3999999999999999,0.7000000000000002,0.9999999999999998,0.9755282581475772,0.9643672493730618,0.571646111057247,-0.011161008774515313,0.4283538889427527
2349,-0.5,-0.3999999999999999,0.8,0.9999999999999998,0.9755282581475772,0.9932642277502748,0.8174685537662261,0.017735969602697632,0.1825314462337737
2350,-0.5,-0.3999999999999999,0.9000000000000001,0.9999999999999998,0.9755282581475772,0.8796798141156824,0.9715887829470102,-0.09584844403189474,0.028411217052989546
2351,-0.5,-0.3999999999999999,1.0,0.9999999999999998,0.9755282581475772,0.6564232237067,0.9894886855079641,-0.3191050344408771,0.010511314492035684
2352,-0.5,-0.29999999999999993,-1.0,0.9999999999999998,0.9045084971874735,0.010511314492036013,0.3435767762932999,-0.8939971826954375,0.6564232237066998
2353,-0.5,-0.29999999999999993,-0.9,0.9999999999999998,0.9045084971874735,0.028411217052989376,0.12032018588431734,-0.8760972801344842,0.8796798141156824
2354,-0.5,-0.29999999999999993,-0.8,0.9999999999999998,0.9045084971874735,0.1825314462337739,0.006735772249725285,-0.7219770509536996,0.9932642277502745
2355,-0.5,-0.29999999999999993,-0.7,0.9999999999999998,0.9045084971874735,0.4283538889427527,0.03563275062693823,-0.4761546082447208,0.9643672493730615
2356,-0.5,-0.29999999999999993,-0.6,0.9999999999999998,0.9045084971874735,0.6948714701916927,0.19866408041237166,-0.2096370269957808,0.8013359195876282
2357,-0.5,-0.29999999999999993,-0.5,0.9999999999999998,0.9045084971874735,0.9050997481197381,0.44873764906864877,0.000591250932264642,0.551262350931351
2358,-0.5,-0.29999999999999993,-0.3999999999999999,0.9999999999999998,0.9045084971874735,0.9983132116827412,0.7136184953566602,0.09380471449526773,0.28638150464333956
2359,-0.5,-0.29999999999999993,-0.29999999999999993,0.9999999999999998,0.9045084971874735,0.9475868406207979,0.9167947547029871,0.043078343433324395,0.08320524529701268
2360,-0.5,-0.29999999999999993,-0.19999999999999996,0.9999999999999998,0.9045084971874735,0.7675731230165596,0.999578124942121,-0.13693537417091395,0.00042187505787882884
2361,-0.5,-0.29999999999999993,-0.09999999999999998,0.9999999999999998,0.9045084971874735,0.5102697986577039,0.9380562529563299,-0.39423869852976956,0.061943747043669894
2362,-0.5,-0.29999999999999993,0.0,0.9999999999999998,0.9045084971874735,0.25,0.75,-0.6545084971874735,0.24999999999999978
2363,-0.5,-0.29999999999999993,0.10000000000000009,0.9999999999999998,0.9045084971874735,0.06194374704367034,0.48973020134229606,-0.8425647501438032,0.5102697986577037
2364,-0.5,-0.29999999999999993,0.20000000000000018,0.9999999999999998,0.9045084971874735,0.0004218750578790972,0.23242687698344033,-0.9040866221295945,0.7675731230165594
2365,-0.5,-0.29999999999999993,0.30000000000000004,0.9999999999999998,0.9045084971874735,0.08320524529701309,0.052413159379202635,-0.8213032518904604,0.9475868406207971
2366,-0.5,-0.29999999999999993,0.40000000000000013,0.9999999999999998,0.9045084971874735,0.2863815046433399,0.0016867883172585615,-0.6181269925441336,0.9983132116827412
2367,-0.5,-0.29999999999999993,0.5,0.9999999999999998,0.9045084971874735,0.5512623509313511,0.0949002518802621,-0.3532461462561224,0.9050997481197377
2368,-0.5,-0.29999999999999993,0.6000000000000001,0.9999999999999998,0.9045084971874735,0.8013359195876286,0.30512852980830774,-0.10317257759984488,0.694871470191692
2369,-0.5,-0.29999999999999993,0.7000000000000002,0.9999999999999998,0.9045084971874735,0.9643672493730618,0.571646111057247,0.05985875218558834,0.4283538889427527
2370,-0.5,-0.29999999999999993,0.8,0.9999999999999998,0.9045084971874735,0.9932642277502748,0.8174685537662261,0.08875573056280128,0.1825314462337737
2371,-0.5,-0.29999999999999993,0.9000000000000001,0.9999999999999998,0.9045084971874735,0.8796798141156824,0.9715887829470102,-0.02482868307179109,0.028411217052989546
2372,-0.5,-0.29999999999999993,1.0,0.9999999999999998,0.9045084971874735,0.6564232237067,0.9894886855079641,-0.24808527348077347,0.010511314492035684
